TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
02,2020-01-21 00:00:00,3.4,11824.0,120,3.6,95,1008,3.5,5773.0,5685.0
02,2020-01-21 00:15:00,3.3,11063.0,121,3.6,95,1008,3.7,6584.0,6142.0
02,2020-01-21 00:30:00,3.3,10300.0,123,3.6,95,1008,3.7,6501.0,6569.0
02,2020-01-21 00:45:00,3.5,9536.0,123,3.7,95,1007,4.0,9272.0,8868.0
02,2020-01-21 01:00:00,3.5,8773.0,125,3.7,95,1007,3.9,7858.0,8478.0
02,2020-01-21 01:15:00,3.5,8014.0,125,3.7,95,1007,3.0,1855.0,2504.0
02,2020-01-21 01:30:00,3.5,7260.0,127,3.6,96,1007,3.0,775.0,663.0
02,2020-01-21 01:45:00,3.4,6505.0,128,3.6,96,1007,4.0,8718.0,6991.0
02,2020-01-21 02:00:00,3.4,5751.0,130,3.5,97,1007,4.5,16420.0,17491.0
02,2020-01-21 02:15:00,3.2,4958.0,131,3.5,97,1007,3.4,5547.0,6868.0
02,2020-01-21 02:30:00,2.8,4126.0,129,3.4,97,1007,2.9,-30.0,-59.0
02,2020-01-21 02:45:00,2.5,3295.0,127,3.3,98,1007,2.6,-93.0,-242.0
02,2020-01-21 03:00:00,2.2,2463.0,124,3.2,98,1007,3.0,43.0,-187.0
02,2020-01-21 03:15:00,1.9,1876.0,122,3.1,98,1007,2.4,-135.0,-261.0
02,2020-01-21 03:30:00,1.6,1535.0,117,3.1,98,1007,2.4,-156.0,-262.0
02,2020-01-21 03:45:00,1.4,1194.0,107,3.0,98,1007,2.4,-85.0,-219.0
02,2020-01-21 04:00:00,1.1,853.0,95,3.0,98,1007,2.5,36.0,-124.0
02,2020-01-21 04:15:00,1.0,677.0,96,3.0,98,1007,2.3,51.0,-110.0
02,2020-01-21 04:30:00,0.9,667.0,103,3.0,98,1007,2.3,-76.0,-252.0
02,2020-01-21 04:45:00,1.0,657.0,114,2.9,99,1007,2.6,54.0,-153.0
02,2020-01-21 05:00:00,0.9,647.0,122,2.9,99,1007,3.0,1238.0,1384.0
02,2020-01-21 05:15:00,1.0,641.0,127,2.9,99,1007,3.3,2614.0,2356.0
02,2020-01-21 05:30:00,0.9,638.0,131,3.0,99,1007,3.4,4147.0,4142.0
02,2020-01-21 05:45:00,0.8,635.0,130,3.1,98,1007,3.2,1996.0,1753.0
02,2020-01-21 06:00:00,0.7,632.0,135,3.2,98,1007,3.1,2004.0,2020.0
02,2020-01-21 06:15:00,0.6,625.0,135,3.2,98,1007,3.1,2200.0,2023.0
02,2020-01-21 06:30:00,0.5,615.0,112,3.2,98,1007,2.9,878.0,1019.0
02,2020-01-21 06:45:00,0.6,606.0,90,3.2,98,1007,2.7,-95.0,-226.0
02,2020-01-21 07:00:00,0.7,596.0,82,3.2,98,1007,2.7,-1.0,-108.0
02,2020-01-21 07:15:00,0.7,597.0,74,3.3,98,1007,2.9,110.0,-145.0
02,2020-01-21 07:30:00,0.9,609.0,69,3.4,98,1007,3.4,1271.0,923.0
02,2020-01-21 07:45:00,0.9,620.0,63,3.5,97,1007,3.3,2454.0,2468.0
02,2020-01-21 08:00:00,1.0,632.0,61,3.6,97,1007,3.4,3044.0,2847.0
02,2020-01-21 08:15:00,1.1,661.0,56,3.8,97,1007,3.6,4357.0,4189.0
02,2020-01-21 08:30:00,1.2,708.0,48,4.0,96,1007,3.9,5615.0,5740.0
02,2020-01-21 08:45:00,1.3,754.0,42,4.3,95,1007,2.8,864.0,1052.0
02,2020-01-21 09:00:00,1.5,801.0,37,4.5,94,1007,2.7,334.0,232.0
02,2020-01-21 09:15:00,1.6,781.0,35,4.8,92,1007,3.0,-65.0,-57.0
02,2020-01-21 09:30:00,1.7,694.0,33,5.3,91,1007,2.3,-116.0,-267.0
02,2020-01-21 09:45:00,1.6,608.0,30,5.8,89,1007,2.1,-117.0,-286.0
