DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15,TurbID
1/1/2022 00:00:00,1.4,1203.0,287,-9.8,60,867,2.3,3112.0,,19
1/1/2022 00:15:00,1.2,1225.0,290,-9.9,60,867,1.7,1011.0,,19
1/1/2022 00:30:00,1.0,1242.0,294,-9.9,59,867,1.4,18.0,,19
1/1/2022 00:45:00,0.8,1259.0,293,-10.0,59,867,1.2,0.0,,19
1/1/2022 01:00:00,0.6,1276.0,301,-10.0,58,867,1.0,0.0,,19
1/1/2022 01:15:00,0.4,1402.0,326,-10.2,59,867,1.1,0.0,,19
1/1/2022 01:30:00,0.2,1639.0,27,-10.5,60,867,1.2,0.0,,19
1/1/2022 01:45:00,0.4,1876.0,76,-10.9,61,867,1.4,0.0,,19
1/1/2022 02:00:00,0.8,2113.0,90,-11.2,62,867,1.5,0.0,,19
1/1/2022 02:15:00,1.2,2413.0,90,-11.5,62,867,1.3,0.0,,19
1/1/2022 02:30:00,1.5,2777.0,90,-11.6,63,867,1.2,0.0,,19
1/1/2022 02:45:00,1.8,3142.0,90,-11.8,63,867,1.3,0.0,,19
1/1/2022 03:00:00,2.1,3506.0,90,-11.9,64,867,1.5,0.0,,19
1/1/2022 03:15:00,2.3,3920.0,90,-12.1,64,867,1.8,0.0,,19
1/1/2022 03:30:00,2.4,4384.0,90,-12.3,64,867,2.3,573.0,,19
1/1/2022 03:45:00,2.6,4847.0,90,-12.4,65,866,2.3,2420.0,,19
1/1/2022 04:00:00,2.7,5311.0,90,-12.6,65,866,2.4,3187.0,,19
1/1/2022 04:15:00,2.9,5914.0,92,-12.7,65,866,2.5,6179.0,,19
1/1/2022 04:30:00,3.1,6655.0,94,-12.8,65,866,2.4,35969.0,,19
1/1/2022 04:45:00,3.2,7397.0,95,-12.9,66,866,1.1,36421.0,,19
1/1/2022 05:00:00,3.4,8138.0,97,-13.0,66,866,1.0,37053.0,,19
1/1/2022 05:15:00,3.7,9225.0,98,-13.1,66,866,1.0,35908.0,,19
1/1/2022 05:30:00,4.0,10657.0,96,-13.2,66,866,1.0,35473.0,,19
1/1/2022 05:45:00,4.3,12090.0,95,-13.3,66,866,1.0,35516.0,,19
1/1/2022 06:00:00,4.6,13522.0,94,-13.4,66,866,1.0,35398.0,,19
1/1/2022 06:15:00,5.1,15613.0,93,-13.4,66,866,1.0,34985.0,,19
1/1/2022 06:30:00,5.6,18363.0,92,-13.3,66,866,1.0,35013.0,,19
1/1/2022 06:45:00,6.1,21113.0,91,-13.2,66,865,1.0,34836.0,,19
1/1/2022 07:00:00,6.6,23863.0,90,-13.1,66,865,1.0,34247.0,,19
1/1/2022 07:15:00,7.0,26516.0,90,-13.0,66,865,1.0,34201.0,,19
1/1/2022 07:30:00,7.4,29072.0,89,-12.9,66,865,1.0,34456.0,,19
1/1/2022 07:45:00,7.8,31629.0,89,-12.8,65,865,1.0,34684.0,,19
1/1/2022 08:00:00,8.2,34185.0,88,-12.7,65,865,1.0,34770.0,,19
1/1/2022 08:15:00,8.5,38062.0,88,-12.6,65,865,1.0,34577.0,,19
1/1/2022 08:30:00,8.8,43261.0,87,-12.5,65,865,1.0,34553.0,,19
1/1/2022 08:45:00,9.0,48460.0,87,-12.4,65,866,1.0,34619.0,,19
1/1/2022 09:00:00,9.3,53659.0,86,-12.3,65,866,1.0,34588.0,,19
1/1/2022 09:15:00,9.4,57639.0,86,-12.1,65,866,1.0,34767.0,,19
1/1/2022 09:30:00,9.5,60401.0,86,-11.8,64,866,1.0,34653.0,,19
1/1/2022 09:45:00,9.5,63162.0,85,-11.5,63,866,1.0,34353.0,,19
1/1/2022 10:00:00,9.6,65924.0,85,-11.2,62,866,1.0,34183.0,,19
1/1/2022 10:15:00,9.6,67181.0,84,-10.6,60,866,1.0,34141.0,,19
1/1/2022 10:30:00,9.5,66932.0,83,-9.8,57,866,1.0,34145.0,,19
1/1/2022 10:45:00,9.4,66683.0,83,-9.1,54,865,1.0,34076.0,,19
1/1/2022 11:00:00,9.3,66434.0,82,-8.3,51,865,1.0,34226.0,,19
1/1/2022 11:15:00,9.1,65230.0,82,-7.5,48,865,1.0,34383.0,,19
1/1/2022 11:30:00,8.9,63072.0,83,-6.8,45,865,1.0,35261.0,,19
1/1/2022 11:45:00,8.6,60914.0,83,-6.1,43,865,1.0,35568.0,,19
1/1/2022 12:00:00,8.3,58756.0,84,-5.4,40,865,1.0,35866.0,,19
1/1/2022 12:15:00,8.0,54713.0,85,-4.9,38,865,1.0,35666.0,,19
1/1/2022 12:30:00,7.6,48785.0,85,-4.4,37,865,1.0,35602.0,,19
1/1/2022 12:45:00,7.2,42857.0,86,-3.9,36,864,1.0,35736.0,,19
1/1/2022 13:00:00,6.8,36929.0,87,-3.4,35,864,1.0,35791.0,,19
1/1/2022 13:15:00,6.5,33237.0,88,-3.0,34,864,1.0,35941.0,,19
1/1/2022 13:30:00,6.3,31780.0,90,-2.7,33,864,1.0,35859.0,,19
1/1/2022 13:45:00,6.2,30323.0,91,-2.3,32,863,1.0,36274.0,,19
1/1/2022 14:00:00,6.0,28866.0,93,-2.0,31,863,1.0,36922.0,,19
1/1/2022 14:15:00,5.8,27273.0,95,-1.7,30,863,1.2,36928.0,,19
1/1/2022 14:30:00,5.7,25545.0,96,-1.5,29,863,1.1,38074.0,,19
