DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
2021-10-02 00:00:00,5.3,29249.8818181818,216,2.8,66,821,7.4,43095.0,42914.0
2021-10-02 00:15:00,5.3,30355.9454545455,214,2.8,66,821,6.8,37833.0,
2021-10-02 00:30:00,5.3,30999.7015151515,213,2.8,66,821,7.0,39880.0,
2021-10-02 00:45:00,5.1,31642.4924242424,213,2.8,66,821,7.2,42963.0,42244.0
2021-10-02 01:00:00,5.1,32286.2484848485,212,2.8,66,821,8.3,50648.0,43271.0
2021-10-02 01:15:00,5.1,33127.8606060606,211,2.8,66,821,7.9,47949.0,
2021-10-02 01:30:00,5.4,34168.2939393939,210,2.7,67,821,8.0,49935.0,
2021-10-02 01:45:00,5.6,35208.7272727273,210,2.6,68,821,7.8,47831.0,49344.0
2021-10-02 02:00:00,6.0,36249.1606060606,209,2.5,69,821,7.8,47357.0,48496.0
2021-10-02 02:15:00,6.1,36669.0015151515,210,2.4,70,821,7.3,40905.0,
2021-10-02 02:30:00,6.1,36469.2151515152,212,2.3,72,821,7.1,39380.0,38627.0
2021-10-02 02:45:00,6.2,36268.4636363636,214,2.2,75,821,6.7,35670.0,37644.0
2021-10-02 03:00:00,6.2,36068.6772727273,217,2.1,77,821,6.6,36147.0,
2021-10-02 03:15:00,6.1,35539.7742424242,218,2.0,79,821,6.3,34333.0,
2021-10-02 03:30:00,6.0,34682.7196969697,220,1.9,81,821,6.1,32004.0,33268.0
2021-10-02 03:45:00,5.8,33824.7,222,1.8,82,821,5.8,29940.0,
2021-10-02 04:00:00,5.7,32967.6454545455,224,1.7,84,821,5.7,29043.0,29562.0
2021-10-02 04:15:00,5.7,32079.7060606061,225,1.6,85,821,5.8,29386.0,
2021-10-02 04:30:00,5.6,31161.846969697,226,1.6,86,821,5.7,27016.0,29428.0
2021-10-02 04:45:00,5.6,30243.9878787879,227,1.5,87,821,6.0,30701.0,
2021-10-02 05:00:00,5.5,29326.1287878788,228,1.5,88,821,6.1,31796.0,
2021-10-02 05:15:00,5.5,28372.5590909091,229,1.5,88,821,6.0,30896.0,31705.0
2021-10-02 05:30:00,5.4,27383.2787878788,230,1.5,89,821,6.2,29967.0,28401.0
2021-10-02 05:45:00,5.2,26394.9636363636,230,1.5,89,821,6.2,30457.0,27150.0
2021-10-02 06:00:00,5.2,25405.6833333333,230,1.5,90,821,6.4,32053.0,
2021-10-02 06:15:00,5.1,24510.0227272727,231,1.7,90,821,6.6,33736.0,31973.0
2021-10-02 06:30:00,5.1,23707.0166666667,231,2.1,90,821,6.3,32272.0,
2021-10-02 06:45:00,5.0,22904.9757575758,231,2.5,89,821,6.0,27827.0,
2021-10-02 07:00:00,5.0,22101.9696969697,231,2.9,89,821,6.0,28702.0,25275.0
2021-10-02 07:15:00,5.0,20994.9409090909,231,3.5,88,821,6.2,30588.0,28981.0
2021-10-02 07:30:00,4.9,19582.9242424242,231,4.2,87,821,6.0,28199.0,28177.0
2021-10-02 07:45:00,4.8,18170.9075757576,230,4.9,85,821,6.0,29012.0,28044.0
2021-10-02 08:00:00,4.7,16758.8909090909,230,5.6,84,821,6.1,30670.0,29562.0
2021-10-02 08:15:00,4.8,16035.9924242424,229,6.2,82,821,6.3,30456.0,28892.0
2021-10-02 08:30:00,4.7,15507.9654545455,228,6.7,80,821,6.1,26110.0,28803.0
2021-10-02 08:45:00,4.8,15473.3536363636,225,7.3,78,822,5.5,21405.0,
2021-10-02 09:00:00,4.8,15438.7418181818,223,7.8,76,822,5.8,21103.0,19068.0
2021-10-02 09:15:00,4.9,15914.8881818182,221,8.3,74,822,5.8,23255.0,20765.0
2021-10-02 09:30:00,5.0,16900.8572727273,219,8.7,73,822,6.0,24405.0,20809.0
2021-10-02 09:45:00,5.2,17887.7618181818,218,9.2,72,822,6.6,31149.0,25230.0
2021-10-02 10:00:00,5.4,18873.7309090909,217,9.6,71,822,6.7,34184.0,29517.0
2021-10-02 10:15:00,5.5,20086.08,215,10.0,69,822,7.9,45298.0,34340.0
2021-10-02 10:30:00,5.8,21524.8090909091,214,10.4,68,822,7.8,47634.0,45013.0
2021-10-02 10:45:00,6.1,22963.5381818182,213,10.7,67,822,7.4,41672.0,43718.0
2021-10-02 11:00:00,6.3,24402.2672727273,211,11.1,66,822,7.4,42585.0,42646.0
2021-10-02 11:15:00,6.5,25693.1945454545,211,11.3,66,822,7.1,38498.0,
2021-10-02 11:30:00,6.7,26837.2554545455,210,11.3,67,822,7.3,42691.0,41217.0
2021-10-02 11:45:00,6.7,27981.3163636364,208,11.3,68,821,7.8,44678.0,41172.0
2021-10-02 12:00:00,6.9,29125.3772727273,208,11.3,69,821,8.1,50300.0,
2021-10-02 12:15:00,6.9,29936.4163636364,207,11.4,69,821,7.9,49098.0,
2021-10-02 12:30:00,6.8,30415.3690909091,205,11.6,69,821,8.4,57243.0,51934.0
2021-10-02 12:45:00,6.9,30895.2572727273,204,11.9,68,821,8.6,52460.0,
2021-10-02 13:00:00,6.8,31374.21,202,12.1,68,821,8.8,54251.0,
2021-10-02 13:15:00,6.9,32163.7336363636,201,12.3,68,821,9.0,58580.0,52827.0
2021-10-02 13:30:00,7.2,33262.8927272727,200,12.6,68,821,8.9,59237.0,55640.0
2021-10-02 13:45:00,7.3,34362.9872727273,199,12.8,67,820,8.5,54675.0,
2021-10-02 14:00:00,7.6,35462.1463636364,198,13.1,67,820,8.6,53213.0,
2021-10-02 14:15:00,7.8,36609.0136363636,198,13.1,68,820,9.1,57957.0,53140.0
2021-10-02 14:30:00,7.9,37802.6536363636,198,13.0,69,820,9.1,56970.0,
2021-10-02 14:45:00,8.0,38995.3581818182,199,12.9,70,820,9.1,59668.0,
2021-10-02 15:00:00,8.2,40188.9981818182,199,12.8,71,820,9.2,59505.0,
2021-10-02 15:15:00,8.2,40908.3627272727,199,12.5,73,820,9.5,65278.0,55283.0
2021-10-02 15:30:00,7.9,41153.4518181818,199,12.1,76,820,9.9,69418.0,
2021-10-02 15:45:00,7.7,41398.5409090909,199,11.7,80,819,9.5,66843.0,
2021-10-02 16:00:00,7.5,41643.63,199,11.3,83,819,10.3,71855.0,69484.0
2021-10-02 16:15:00,7.3,41994.4254545455,197,11.0,86,819,10.5,75416.0,67831.0
